REFCODE;GFN2;PM7;PM6
CEDMON;0.2276;0.1797;0.8687
CEDMON10;0.2177;0.1778;0.8676
CEFDOI;0.3098;0.5743;0.744
CEFLUW;0.1331;0.4182;0.4614
CEHFOK;0.3371;0.4353;0.7571
CEHHOO;0.1308;0.315;0.4667
CEHJAC;0.1418;0.3474;0.8844
CEHNUY;0.3604;0.0646;0.5484
CELXEX;0.2833;1.6819;0.4847
CEMWIC;0.4455;0.4622;1.0755
CEMWUO;0.4945;0.5205;1.0077
CEMXAV;0.445;0.5384;0.5329
CEMXID;1.1518;1.0619;0.7791
CENKEL10;0.1034;0.1036;0.2218
CENVAT;0.1517;0.3258;0.1846
CENZAY;0.3322;0.5215;2.5515
CEPKUF;0.2308;0.3119;1.0106
CEQKIT;0.2592;0.6074;0.6761
CEQKOA;0.7216;0.7341;1.1931
CEQKUG;0.9177;1.2463;1.3889
CEQLAN;0.6295;0.3291;0.9864
CEQPEV;0.2613;0.3883;1.0504
CEQQEW;0.1734;0.4992;0.5439
CEQQEW01;0.1524;0.2717;0.6784
CEQQOG;0.0773;0.2377;0.2702
CERMIX;0.1177;0.3138;0.2045
